x0000,y0000
61.7316942811,0.0215478186
61.8198824158,0.0350256442
61.9080705505,0.0386631930
61.9962586852,0.031433478
62.0844468199,0.0153760114
62.1726349546,-0.004978448
62.2608230893,-0.0238880026
62.3490112239,-0.0360209555
62.4371993586,-0.0379591067
62.5253874933,-0.0291594347
62.6135756280,-0.0121051920
62.7017637627,0.0083942910
62.7899518974,0.026557805
62.8781400321,0.0372607704
62.9663281668,0.037481057
63.0545163014,0.0271544755
63.1427044361,0.0091961381
63.2308925708,-0.0113214573
63.3190807055,-0.0286025879
63.4072688402,-0.0377677292
63.4954569749,-0.0362322369
63.5836451096,-0.0244340619
63.6718332443,-0.0057071803
63.7600213789,0.0146605336
63.8482095136,0.0309183755
63.9363976483,0.0384742606
64.0245857830,0.0351916306
64.1127739177,0.0219958849
64.2009620524,0.0026162782
64.2891501871,-0.0174670190
64.3773383218,-0.0325739606
64.4655264564,-0.0384332811
64.5537145911,-0.0333912102
64.6419027258,-0.0188775553
64.7300908605,0.0010011256
64.8182789952,0.0206238401
64.9064671299,0.0344433389
64.9946552646,0.0385524360
65.0828433993,0.0317880329
65.1710315339,0.0160618631
65.2592196686,-0.004177072
65.3474078033,-0.0231994328
65.4355959380,-0.0356182080
65.5237840727,-0.0379168089
65.6119722074,-0.0294468132
65.7001603421,-0.0126106523
65.7883484768,0.007821583
65.8765366114,0.0260647348
65.9647247461,0.036955639
66.0529128808,0.0374123192
66.1411010155,0.0273051850
66.2292891502,0.0094952523
66.3174772849,-0.0109729321
66.4056654196,-0.028298385
66.4938535542,-0.0375685177
66.5820416889,-0.0361545646
66.6702298236,-0.0244590759
66.7584179583,-0.0058014184
66.846606093,0.0145257625
66.9347942277,0.0307591948
67.0229823624,0.0382987571
67.1111704971,0.0350095283
67.1993586317,0.0218252055
67.2875467664,0.0024837524
67.3757349011,-0.0175300862
67.4639230358,-0.0325380722
67.5521111705,-0.0382795182
67.6402993052,-0.0331231252
67.7284874399,-0.0185331198
67.8166755746,0.0013456756
67.9048637092,0.0208667214
67.9930518439,0.0344876259
68.0812399786,0.0383442047
68.1694281133,0.0313453015
68.257616248,0.0154799077
68.3458043827,-0.0047478396
68.4339925174,-0.0235951419
68.5221806521,-0.0357087069
68.6103687867,-0.0376451575
68.6985569214,-0.0288521198
68.7867450561,-0.0118285516
68.8749331908,0.0085844188
68.9631213255,0.0265814398
69.0513094602,0.0370459997
69.1394975949,0.0370059206
69.2276857296,0.0264766281
69.3158738642,0.0084541689
69.4040619989,-0.0119375205
69.4922501336,-0.028901835
69.5804382683,-0.0376152379
69.668626403,-0.035598205
69.7568145377,-0.0234224555
69.8450026724,-0.0045516264
69.9331908071,0.015642339
70.0213789417,0.0314090982
70.1095670764,0.038259649
70.1977552111,0.034246101
70.2859433458,0.0205152138
70.3741314805,0.0009791209
70.4623196152,-0.0188002819
70.5505077499,-0.0331938543
70.6386958846,-0.0381050880
70.7268840192,-0.0321349349
70.8150721539,-0.0169817534
70.9032602886,0.0030389479
70.9914484233,0.0222215155
71.079636558,0.0350967423
71.1678246927,0.0379936741
71.2560128274,0.0300883095
71.3442009621,0.0136380347
71.4323890967,-0.0066645640
71.5205772314,-0.0250315691
71.6087653661,-0.0362292615
71.6969535008,-0.0370677678
71.7851416355,-0.0273085927
71.8733297702,-0.0097333558
71.9615179049,0.0106465754
72.0497060396,0.0280169416
72.1378941742,0.0374193743
72.2260823089,0.0361688813
72.3142704436,0.0246229755
72.4024585783,0.0060802664
72.490646713,-0.0141631644
72.5788348477,-0.0303281369
72.6670229824,-0.0378026958
72.7552111170,-0.0344566428
72.8433992517,-0.0212471175
72.9315873864,-0.0019449392
73.0197755211,0.0179397005
73.1079636558,0.0327278201
73.1961517905,0.0381930377
73.2843399252,0.0327714618
73.3725280599,0.0180120670
73.4607161945,-0.001864549
73.5489043292,-0.0211741832
73.6370924639,-0.0343967162
73.7252805986,-0.0377551855
73.8134687333,-0.0302937054
73.901656868,-0.0141478908
73.9898450027,0.00606669
74.0780331374,0.0245722294
74.1662212720,0.0360778099
74.2544094067,0.0372913835
74.3425975414,0.0278633995
74.4307856761,0.0104902795
74.5189738108,-0.0098551209
74.6071619455,-0.0273476372
74.6953500802,-0.0369797542
74.7835382149,-0.0359966543
74.8717263495,-0.0246838422
74.9599144842,-0.0062827986
75.0481026189,0.0139386387
75.1362907536,0.0301934228
75.2244788883,0.0378294504
75.312667023,0.0346598414
75.4008551577,0.0215902745
75.4890432924,0.0023628561
75.5772314270,-0.0175131840
75.6654195617,-0.0323401718
75.7536076964,-0.0378674450
75.8417958311,-0.0325121953
75.9299839658,-0.0178131695
76.0181721005,0.0020128519
76.1063602352,0.0212822101
76.1945483699,0.0344735359
76.2827365045,0.0378080213
76.3709246392,0.0303303840
76.4591127739,0.0141830900
76.5473009086,-0.0060049898
76.6354890433,-0.0244431048
76.723677178,-0.0358394283
76.8118653127,-0.0369219746
76.9000534474,-0.0273806103
76.9882415820,-0.0099568213
77.0764297167,0.0103451696
77.1646178514,0.0276973866
77.2528059861,0.0371215008
77.3409941208,0.0359157964
77.4291822555,0.0244281696
77.5173703902,0.0059558228
77.6055585249,-0.0141991177
