D. M. Wieliczka and S. Weng and M. R. Querry, "Wedge shaped cell for
highly absorbent liquids: infrared optical constants of water," Appl.
Opt., 28, 1714--1719, (1989).

wavelength	absorption
(nm)	(1/cm)
8244.0	516.74
8237.2	516.71
8230.5	516.83
8223.7	517.25
8216.9	517.52
8210.2	517.95
8203.4	518.22
8196.7	518.34
8190.0	518.61
8183.3	518.73
8176.6	519.15
8169.9	518.96
8163.3	519.08
8156.6	519.35
8150.0	519.77
8143.3	520.04
8136.7	519.85
8130.1	519.81
8123.5	519.61
8116.9	520.03
8110.3	520.14
8103.7	520.26
8097.2	520.52
8090.6	520.48
8084.1	520.43
8077.5	520.23
8071.0	520.65
8064.5	520.92
8058.0	521.34
8051.5	521.13
8045.1	520.77
8038.6	520.88
8032.1	520.98
8025.7	520.93
8019.2	521.35
8012.8	521.14
8006.4	521.56
8000.0	521.35
7993.6	521.45
7987.2	521.55
7980.8	521.18
7974.5	520.81
7968.1	520.59
7961.8	520.53
7955.4	520.32
7949.1	520.42
7942.8	520.67
7936.5	520.77
7930.2	520.86
7923.9	520.80
7917.7	521.37
7911.4	521.47
7905.1	521.40
7898.9	521.50
7892.7	521.91
7886.4	522.80
7880.2	523.69
7874.0	524.42
7867.8	525.31
7861.6	525.57
7855.5	526.30
7849.3	526.71
7843.1	527.29
7837.0	527.86
7830.9	528.11
7824.7	528.69
7818.6	529.26
7812.5	530.00
7806.4	530.73
7800.3	531.15
7794.2	531.56
7788.2	531.66
7782.1	532.07
7776.0	532.32
7770.0	532.74
7764.0	532.99
7758.0	533.24
7751.9	533.65
7745.9	534.23
7739.9	534.64
7734.0	534.73
7728.0	534.49
7722.0	534.75
7716.0	535.00
7710.1	535.57
7704.2	535.98
7698.2	536.56
7692.3	537.30
7686.4	537.88
7680.5	538.29
7674.6	538.87
7668.7	539.12
7662.8	539.53
7657.0	539.29
7651.1	539.70
7645.3	539.78
7639.4	539.87
7633.6	539.95
7627.8	540.20
7622.0	540.12
7616.1	540.36
7610.4	540.44
7604.6	540.53
7598.8	540.44
7593.0	540.19
7587.3	540.43
7581.5	540.84
7575.8	541.25
7570.0	542.00
7564.3	542.24
7558.6	542.65
7552.9	543.23
7547.2	543.47
7541.5	543.55
7535.8	543.62
7530.1	543.37
7524.5	543.77
7518.8	543.52
7513.1	543.59
7507.5	543.50
7501.9	543.40
7496.3	543.64
7490.6	543.88
7485.0	543.95
7479.4	544.19
7473.8	543.93
7468.3	543.49
7462.7	543.39
7457.1	543.46
7451.6	544.20
7446.0	544.44
7440.5	544.85
7434.9	545.08
7429.4	545.32
7423.9	545.89
7418.4	546.47
7412.9	546.70
7407.4	546.77
7401.9	547.17
7396.4	547.24
7391.0	547.64
7385.5	547.37
7380.1	547.43
7374.6	547.32
7369.2	547.22
7363.8	547.45
7358.4	547.34
7352.9	547.23
7347.5	547.12
7342.1	547.01
7336.8	547.07
7331.4	547.47
7326.0	547.70
7320.6	547.58
7315.3	547.64
7309.9	548.21
7304.6	548.44
7299.3	548.67
7293.9	548.90
7288.6	548.95
7283.3	549.18
7278.0	549.76
7272.7	549.81
7267.4	550.21
7262.2	550.61
7256.9	551.01
7251.6	551.76
7246.4	551.98
7241.1	552.38
7235.9	552.96
7230.7	552.83
7225.4	553.23
7220.2	553.46
7215.0	554.03
7209.8	554.26
7204.6	554.83
7199.4	555.23
7194.2	555.11
7189.1	555.86
7183.9	555.91
7178.8	555.78
7173.6	555.66
7168.5	555.88
7163.3	556.28
7158.2	556.68
7153.1	557.07
7148.0	557.30
7142.9	557.70
7137.8	557.74
7132.7	558.14
7127.6	558.54
7122.5	558.05
7117.4	558.27
7112.4	558.14
7107.3	558.01
7102.3	558.58
7097.2	558.62
7092.2	558.67
7087.2	558.89
7082.2	559.28
7077.1	560.21
7072.1	560.25
7067.1	561.00
7062.1	561.76
7057.2	562.33
7052.2	562.91
7047.2	563.48
7042.3	564.59
7037.3	564.99
7032.3	565.74
7027.4	566.50
7022.5	566.72
7017.5	567.65
7012.6	568.59
7007.7	569.17
7002.8	569.21
6997.9	570.32
6993.0	570.54
6988.1	570.76
6983.2	570.98
6978.4	570.66
6973.5	570.70
6968.6	571.46
6963.8	571.67
6958.9	572.43
6954.1	572.29
6949.3	572.69
6944.4	573.27
6939.6	573.30
6934.8	573.88
6930.0	575.01
6925.2	576.49
6920.4	577.26
6915.6	578.56
6910.9	579.69
6906.1	580.64
6901.3	582.49
6896.6	583.81
6891.8	585.49
6887.1	586.26
6882.3	587.21
6877.6	588.16
6872.9	588.75
6868.1	589.52
6863.4	590.29
6858.7	591.43
6854.0	592.20
6849.3	592.97
6844.6	593.19
6839.9	593.97
6835.3	594.56
6830.6	594.78
6825.9	595.74
6821.3	597.07
6816.6	597.84
6812.0	598.43
6807.4	599.21
6802.7	600.17
6798.1	601.14
6793.5	601.54
6788.9	602.88
6784.3	603.84
6779.7	604.99
6775.1	605.96
6770.5	607.67
6765.9	609.20
6761.3	609.98
6756.8	611.32
6752.2	612.48
6747.6	614.01
6743.1	615.17
6738.5	616.89
6734.0	617.49
6729.5	619.03
6724.9	619.82
6720.4	621.17
6715.9	623.27
6711.4	624.25
6706.9	625.61
6702.4	626.59
6697.9	627.76
6693.4	628.56
6689.0	629.35
6684.5	630.15
6680.0	631.89
6675.6	632.31
6671.1	634.24
6666.7	635.42
6662.2	637.16
6657.8	638.34
6653.4	640.09
6648.9	641.27
6644.5	642.83
6640.1	644.58
6635.7	645.96
6631.3	647.33
6626.9	649.09
6622.5	651.04
6618.1	652.61
6613.8	654.37
6609.4	656.71
6605.0	658.47
6600.7	660.43
6596.3	662.39
6592.0	664.54
6587.6	667.46
6583.3	669.81
6578.9	672.35
6574.6	674.90
6570.3	676.49
6566.0	681.14
6561.7	686.76
6557.4	691.43
6553.1	693.22
6548.8	700.01
6544.5	703.73
6540.2	707.84
6535.9	712.73
6531.7	716.46
6527.4	722.90
6523.2	727.22
6518.9	731.94
6514.7	736.08
6510.4	741.19
6506.2	747.28
6502.0	750.47
6497.7	756.76
6493.5	763.44
6489.3	768.78
6485.1	776.26
6480.9	781.99
6476.7	791.23
6472.5	797.57
6468.3	802.36
6464.1	808.90
6459.9	815.26
6455.8	822.41
6451.6	825.08
6447.5	832.63
6443.3	837.26
6439.1	842.88
6435.0	847.91
6430.9	852.76
6426.7	862.30
6422.6	867.55
6418.5	876.72
6414.4	884.14
6410.3	890.59
6406.1	898.42
6402.0	905.86
6398.0	911.16
6393.9	920.78
6389.8	927.07
6385.7	934.36
6381.6	939.68
6377.6	948.36
6373.5	958.03
6369.4	966.73
6365.4	973.66
6361.3	982.38
6357.3	993.29
6353.2	998.86
6349.2	1010.0
6345.2	1023.7
6341.2	1036.8
6337.1	1045.4
6333.1	1056.2
6329.1	1067.8
6325.1	1081.2
6321.1	1093.2
6317.1	1104.4
6313.1	1119.3
6309.1	1131.3
6305.2	1146.4
6301.2	1158.7
6297.2	1180.4
6293.3	1193.5
6289.3	1210.4
6285.4	1229.6
6281.4	1246.4
6277.5	1269.2
6273.5	1287.2
6269.6	1310.4
6265.7	1336.5
6261.7	1357.4
6257.8	1383.2
6253.9	1403.9
6250.0	1430.0
6246.1	1459.0
6242.2	1492.3
6238.3	1516.6
6234.4	1548.6
6230.5	1580.2
6226.6	1606.3
6222.8	1633.7
6218.9	1671.9
6215.0	1699.2
6211.2	1743.8
6207.3	1784.1
6203.5	1804.7
6199.6	1831.8
6195.8	1876.3
6192.0	2053.8
6188.1	2095.7
6184.3	2137.6
6180.5	2183.7
6176.7	2223.7
6172.8	2259.7
6169.0	2295.7
6165.2	2323.6
6161.4	2372.0
6157.6	2414.2
